violations,center_lat,center_lon,avg_vehicle_weight,avg_severity,avg_repeat,avg_criticality,compactness,density,density_norm,avg_vehicle_weight_norm,avg_severity_norm,avg_repeat_norm,avg_criticality_norm,PCRI
188420,12.97848980602316,77.5785756604879,1.7405317906803948,2.7532056045005837,2.260657042776775,1.2057807026854899,0.03000504892556081,6279609.823914937,1.0,0.1878422103189294,0.07100651810775202,0.22097949644924064,0.5200129203779413,50.352649769346705
69,12.927341986956522,77.59734892608695,2.7681159420289854,12.391304347826088,1.3333333333333333,1.3942028985507244,0.0011709226102873996,58927.89104402395,0.005160108845195845,0.448497702368328,1.0,0.05632307680558418,1.0,42.752915497190536
6226,13.070997444304211,77.58844416199005,1.2115322839704465,2.522004497269515,3.446675232894314,1.2,0.0017627361598138544,3532009.010728791,0.560591117915355,0.05365696959250349,0.04872159165660167,0.4315699373366081,0.5052871467639015,35.45283176556466
250,13.050494744400002,77.52553118239999,1.0,2.532,6.648,1.2,0.00020274089939626002,1233100.9714590018,0.1929392353336386,0.0,0.04968503446126138,0.9999999999999999,0.5052871467639015,30.3258811273611
569,12.978932398361906,77.69530163684362,2.5413005272407734,7.558875219683656,1.6959578207381372,1.2,0.001363349076876939,417354.59366241243,0.06248134559508522,0.39096403617814734,0.5342136160558173,0.12071100214723951,0.5052871467639015,28.125552193283653
104,12.956651034615383,77.74539158557693,4.9423076923076925,4.6923076923076925,1.1442307692307692,1.2,0.0030463934046605036,34138.72937122839,0.0011957127923982475,1.0,0.2579119699266549,0.02274585794071668,0.5052871467639015,28.12058441683631
25440,12.941688893432973,77.69544535600488,2.0384827044025156,4.169536163522013,2.837814465408805,1.2,0.019511957601872666,1303815.8712254679,0.20424828536157125,0.2634200030679552,0.20752326197768714,0.32346007988907,0.5052871467639015,27.681663673022637
1264,12.971787709312105,77.65801056885289,1.4248417721518987,3.7262658227848102,2.7547468354430378,1.2,0.0006822843064335204,1852600.137627759,0.29201237388862467,0.10776474220438403,0.16479748501403133,0.3087105178977603,0.5052871467639015,27.342818889373177
5086,13.18539761380063,77.68050353240857,2.3037750688163587,3.6685017695635076,1.5597719229256783,1.2,0.0028029101827514624,1814542.6247684306,0.2859260424607898,0.33071367599244217,0.15922974490684175,0.09652971344362743,0.5052871467639015,27.179964427264043
1718,13.013735192685392,77.53029131427431,3.7363213038416765,4.360884749708964,2.091967403958091,1.2,0.0075981896748417484,226106.49029839883,0.0318960746573682,0.6940912575598399,0.22596689843244713,0.19102681468772664,0.5052871467639015,26.491778866828845
127,13.048095462992125,77.54373859842521,2.6377952755905514,8.094488188976378,1.1968503937007875,1.2,0.002300495929513223,55205.487812739906,0.004564805104318702,0.4154407528327252,0.5858400800028143,0.032089045093158824,0.5052871467639015,26.16882394905422
957,13.191226490783698,77.64621304258098,2.3448275862068964,4.818181818181818,1.3918495297805642,1.2,0.00075425397891603,1268803.3828808498,0.19864892817377441,0.34112699747687125,0.2700446784192845,0.06671326450384615,0.5052871467639015,26.05051718563708
643,13.034890715473122,77.62451677105754,4.08398133748056,3.073094867807154,2.1695178849144634,1.2,0.0023584007385464415,272642.3840913066,0.039338307521115,0.782278192921898,0.10183988560618254,0.20479674681162718,0.5052871467639015,25.79906977282408
70,12.903179446078326,77.64152167145994,4.085714285714285,2.085714285714286,3.342857142857143,1.2,0.001437974590068854,48679.58062920167,0.0035211521958085096,0.7827177700348431,0.006668612791980666,0.41313590526594857,0.5052871467639015,25.773724913663308
5299,12.997244109037096,77.6702101121691,2.4400830345348177,5.137195697301378,1.7065484053595017,1.2,0.007124775586682899,743742.7236170775,0.1146788273474539,0.3652893551015147,0.3007936697118323,0.122591475737992,0.5052871467639015,24.927152015448655
